dataset	shot	status	accuracy	accuracy_std	num_runs
ECG200	10	success	0.7760000000	0.0270185122	5
ECG200	2	success	0.6780000000	0.0521536192	5
ECG200	5	success	0.6860000000	0.0296647940	5
ECG5000	1	success	0.6650370370	0.0612020872	5
ECG5000	10	success	0.8151111111	0.0130317750	5
ECG5000	2	success	0.5759259259	0.1645303579	5
ECG5000	5	success	0.7740740741	0.0673008111	5
ECGFiveDays	1	success	0.6032520325	0.0858154193	5
ECGFiveDays	10	success	0.6931475029	0.0609031149	5
ECGFiveDays	2	success	0.5549361208	0.1463815553	5
ECGFiveDays	5	success	0.7207897793	0.0573391622	5
EOGHorizontalSignal	1	success	0.2900552486	0.0382773659	5
EOGHorizontalSignal	10	success	0.4613259669	0.0215752753	5
EOGHorizontalSignal	2	success	0.3535911602	0.0245530233	5
EOGHorizontalSignal	5	success	0.4290976059	0.0223284634	5
EOGVerticalSignal	1	success	0.2771639042	0.0488203173	5
EOGVerticalSignal	10	success	0.4042357274	0.0250656677	5
EOGVerticalSignal	2	success	0.3434622468	0.0214570538	5
EOGVerticalSignal	5	success	0.3563535912	0.0215752753	5
Earthquakes	1	success	0.5712230216	0.1058067707	5
Earthquakes	10	success	0.4949640288	0.0977729339	5
Earthquakes	2	success	0.5683453237	0.1251260945	5
Earthquakes	5	success	0.4489208633	0.1301542046	5
ElectricDevices	1	success	0.3332468768	0.1530776630	5
ElectricDevices	10	success	0.4689837029	0.0168452271	5
ElectricDevices	2	success	0.4651363853	0.0236660964	5
ElectricDevices	5	success	0.4252799032	0.0504449679	5
EthanolLevel	1	success	0.2540000000	0.1020469187	5
EthanolLevel	10	success	0.2620000000	0.0187006047	5
EthanolLevel	2	success	0.2706666667	0.0234500830	5
EthanolLevel	5	success	0.2760000000	0.0158745079	5
FaceAll	1	success	0.2694280079	0.0555246968	5
FaceAll	10	success	0.4589743590	0.0202080608	5
FaceAll	2	success	0.3258382643	0.0234033456	5
FaceAll	5	success	0.3913214990	0.0141806228	5
FaceFour	1	success	0.5151515152	0.0473105909	5
FaceFour	10	success	0.7083333333	0.0236552954	5
FaceFour	2	success	0.5909090909	0.0901960674	5
FaceFour	5	success	0.6893939394	0.0173582413	5
FacesUCR	1	success	0.4614634146	0.0256926452	5
FacesUCR	10	success	0.5712195122	0.0259000223	5
FacesUCR	2	success	0.4606504065	0.0146124500	5
FacesUCR	5	success	0.5370731707	0.0152784973	5
FiftyWords	1	success	0.3406593407	0.0253462914	5
FiftyWords	10	success	0.5465201465	0.0253664158	5
FiftyWords	2	success	0.3443223443	0.0189487431	5
FiftyWords	5	success	0.4717948718	0.0311469210	5
Fish	1	success	0.3466666667	0.0183688586	5
Fish	10	success	0.5771428571	0.0395897327	5
Fish	2	success	0.4895238095	0.0826763216	5
Fish	5	success	0.5409523810	0.0314718317	5
FordA	1	success	0.5058080808	0.0108291826	5
FordA	10	success	0.5058080808	0.0280848500	5
FordA	2	success	0.5194444444	0.0245988632	5
FordA	5	success	0.5229797980	0.0137481390	5
FordB	1	success	0.5226337449	0.0224043746	5
FordB	10	success	0.5230452675	0.0262820926	5
FordB	2	success	0.4917695473	0.0163006603	5
FordB	5	success	0.5115226337	0.0117338086	5
FreezerRegularTrain	1	success	0.6417543860	0.2950952291	5
FreezerRegularTrain	10	success	0.7964912281	0.0207374061	5
FreezerRegularTrain	2	success	0.6074853801	0.2233107535	5
FreezerRegularTrain	5	success	0.7385964912	0.0425951039	5
FreezerSmallTrain	1	success	0.7004678363	0.0600239342	5
FreezerSmallTrain	10	success	0.7741520468	0.0588034305	5
FreezerSmallTrain	2	success	0.6859649123	0.0615266935	5
FreezerSmallTrain	5	success	0.7484210526	0.0461880215	5
Fungi	1	success	0.8028673835	0.0296105943	5
Fungi	10	success	0.7688172043	0.0518475847	5
Fungi	2	success	0.7885304659	0.0172825283	5
Fungi	5	success	0.7365591398	0.0142244694	5
GestureMidAirD1	1	success	0.3025641026	0.0291226069	5
GestureMidAirD1	10	success	0.4538461538	0.0406860778	5
GestureMidAirD1	2	success	0.3358974359	0.0160128154	5
GestureMidAirD1	5	success	0.4333333333	0.0320256308	5
GestureMidAirD2	1	success	0.3461538462	0.0203519332	5
GestureMidAirD2	10	success	0.4589743590	0.0193585498	5
GestureMidAirD2	2	success	0.3692307692	0.0407038663	5
GestureMidAirD2	5	success	0.4205128205	0.0423659273	5
GestureMidAirD3	1	success	0.1769230769	0.0450164532	5
