dataset	shot	status	accuracy	accuracy_std	num_runs
UWaveGestureLibraryX	10	success	0.5543271915	0.0199297528	5
UWaveGestureLibraryX	2	success	0.4056951424	0.0411501386	5
UWaveGestureLibraryX	5	success	0.5212730318	0.0178085654	5
UWaveGestureLibraryY	1	success	0.3345616974	0.0327595732	5
UWaveGestureLibraryY	10	success	0.4917922948	0.0225376316	5
UWaveGestureLibraryY	2	success	0.3651591290	0.0408362438	5
UWaveGestureLibraryY	5	success	0.4431602457	0.0240110435	5
UWaveGestureLibraryZ	1	success	0.3811076519	0.0379177622	5
UWaveGestureLibraryZ	10	success	0.5631193674	0.0207490457	5
UWaveGestureLibraryZ	2	success	0.4157499156	0.0408560525	5
UWaveGestureLibraryZ	5	success	0.5120323738	0.0223188115	5
Wafer	1	success	0.6814455491	0.0440644325	5
Wafer	10	success	0.8050366585	0.0222801211	5
Wafer	2	success	0.6707201890	0.0411399346	5
Wafer	5	success	0.8602412577	0.0212241664	5
Wine	1	success	0.6111086768	0.0361183348	5
Wine	10	success	0.4815230128	0.0209944964	5
Wine	2	success	0.5741372022	0.0408504827	5
Wine	5	success	0.5000457028	0.0185442612	5
WordSynonyms	1	success	0.1364332341	0.0408046506	5
WordSynonyms	10	success	0.3009470711	0.0214043219	5
WordSynonyms	2	success	0.2179144720	0.0410932373	5
WordSynonyms	5	success	0.2524432344	0.0213328916	5
Worms	1	success	0.4286457834	0.0462575240	5
Worms	10	success	0.4416465691	0.0223510161	5
Worms	2	success	0.3506187769	0.0410554304	5
Worms	5	success	0.4286141961	0.0181229062	5
WormsTwoClass	1	success	0.5455257161	0.0409498274	5
WormsTwoClass	10	success	0.5584113202	0.0213614907	5
WormsTwoClass	2	success	0.4545378609	0.0410672815	5
WormsTwoClass	5	success	0.5195158753	0.0217099654	5
Yoga	1	success	0.5150327161	0.0375639019	5
Yoga	10	success	0.5363459953	0.0220167172	5
Yoga	2	success	0.5520392266	0.0410922444	5
Yoga	5	success	0.5320434272	0.0240013016	5
